ID,名前,科目,開始日,難易度,種類,期日,問題数,タスク傾斜,繰り返し数,タスク傾斜pattern,目標点,返却日,flag,タスクにかかった時間,現在のページ数
1,target英文法,E,2016/3/10,E,0,2016/3/29,1000,N,2,2,,,,30,15
2,DragonEnglish,E,2016/3/10,N,0,2016/3/29,100,N,2,2,,,,,
3,system英単語,E,2016/3/10,H,0,2016/3/29,2202,N,1,2,,,,,
4,マセマ,M,2016/3/10,H,0,2016/3/29,61,N,1,1,,,,,
5,数学,M,2016/3/10,E,1,7,8,,,,,,,,
6,出口現代文,J,2016/3/10,E,1,7,6,,,,,,,,
7,クラス模試,E,2016/3/10,N,2,2016/3/29,,,,,100,2016/4/11,,,
8,クラス模試,M,2016/3/10,N,2,2016/3/29,,,,,100,2016/4/11,,,
9,クラス模試,J,2016/3/10,N,2,2016/3/29,,,,,100,2016/4/11,,,
10,Z会東大即応直前,E,2016/3/13,H,3,2016/3/20,,,,,50,10,,,
11,Z会東大即応直前,E,2016/3/13,H,3,2016/3/20,,,,,50,10,,,
12,Z会東大即応直前,M,2016/3/13,H,3,2016/3/20,,,,,50,10,,,
13,Z会東大即応直前,J,2016/3/13,H,3,2016/3/20,,,,,50,10,,,
14,Z会東大即応直前,J,2016/3/13,H,3,2016/3/20,,,,,50,10,,,
15,Z会東大即応直前,C,2016/4/1,H,3,2016/4/10,,,,,,,,,
16,Z会東大即応直前,C,2016/4/1,H,3,2016/4/10,,,,,,,,,
17,Z会東大即応直前,P,2016/4/1,H,3,2016/4/10,,,,,,,,,
18,Z会東大即応直前,P,2016/4/1,H,3,2016/4/10,,,,,,,,,
19,難系物理,P,2016/5/1,H,0,2017/3/29,80,N,3,2,,,,,
20,新研究,C,2016/5/1,H,0,2017/2/24,500,,3,,,,,,
21,Z会4-1,E,2016/3/13,H,3,2016/3/22,,,,,,,,,
22,Z会4-1,M,2016/3/13,H,3,2016/3/22,,,,,,,,,
23,Z会4-1,J,2016/3/13,H,3,2016/3/22,,,,,,,,,
24,Z会4-1,C,2016/3/13,H,3,2016/3/22,,,,,,,,,
25,Z会4-1,P,2016/3/13,H,3,2016/3/22,,,,,,,,,
26,Z会4-2,E,2016/3/24,H,3,2016/4/5,,,,,,,,,
27,Z会4-2,M,2016/3/24,H,3,2016/4/5,,,,,,,,,
28,Z会4-2,J,2016/3/24,H,3,2016/4/5,,,,,,,,,
29,Z会4-2,C,2016/3/24,H,3,2016/4/5,,,,,,,,,
30,Z会4-2,P,2016/3/24,H,3,2016/4/5,,,,,,,,,
31,Z会4月即応,E,2016/4/6,H,3,2016/4/12,,,,,,,,,
32,Z会4月即応,M,2016/4/6,H,3,2016/4/12,,,,,,,,,
33,Z会4月即応,J,2016/4/6,H,3,2016/4/12,,,,,,,,,
34,Z会スタート 東大,E,,H,,,2,,,,,,,,
35,Z会スタート 東大,M,,H,,,2,,,,,,,,
36,Z会スタート 東大,J,,H,,,2,,,,,,,,
37,Z会スタート 東大,C,,H,,,2,,,,,,,,
38,Z会スタート 東大,P,,H,,,2,,,,,,,,
39,Z会スタート 基礎,E,,E,,,2,,,,,,,,
40,Z会スタート 基礎,J,,E,,,2,,,,,,,,
41,Z会スタート 基礎,P,,E,,,2,,,,,,,,
42,Z会スタート 基礎,P,,E,,,2,,,,,,,,
43,大屋プリント,C,2016/4/1,N,0,2016/4/20,180,N,1,,,,,,
